hole_high,hole_low,suited,pocket_pair,street,num_opponents,hand_class,normalized_strength,win_pct,tie_pct,loss_pct
14,2,0,0,0,3,0,0.0,22.8,4.8,72.4
7,3,1,0,4,5,7,0.5653,3.8,1.6,94.6
10,5,1,0,3,2,8,0.4759,17.2,5.6,77.2
8,2,0,0,5,2,8,0.4054,0.0,7.8,92.2
12,3,1,0,5,6,4,0.8313,79.0,0.0,21.0
10,7,0,0,5,5,8,0.359,0.0,0.0,100.0
11,8,0,0,5,1,9,0.06,15.8,0.6,83.6
13,8,1,0,3,4,9,0.0816,10.0,1.0,89.0
14,3,0,0,5,1,8,0.2853,36.8,5.0,58.2
4,2,0,0,4,7,8,0.4979,0.0,0.2,99.8
12,4,1,0,4,8,6,0.7603,53.8,11.8,34.4
2,2,0,1,3,4,8,0.1821,7.6,0.6,91.8
11,11,0,1,4,6,7,0.666,39.8,0.4,59.8
9,7,1,0,5,1,7,0.5954,66.8,7.8,25.4
13,3,1,0,3,3,8,0.4958,67.6,3.4,29.0
10,2,0,0,3,4,9,0.0574,6.0,3.4,90.6
12,8,0,0,0,7,0,0.0,10.0,2.6,87.4
10,9,0,0,0,6,0,0.0,18.0,2.6,79.4
9,7,0,0,0,7,0,0.0,8.6,3.4,88.0
13,13,0,1,5,8,8,0.5114,25.8,0.4,73.8
9,7,0,0,0,8,0,0.0,9.6,3.2,87.2
9,5,0,0,3,3,9,0.0212,8.6,1.4,90.0
14,14,0,1,3,3,7,0.6648,61.8,0.8,37.4
14,11,0,0,3,7,8,0.4645,16.0,9.4,74.6
14,4,0,0,4,5,9,0.1545,9.8,0.0,90.2
4,2,0,0,0,7,0,0.0,5.8,1.2,93.0
11,6,0,0,4,6,9,0.0524,4.6,5.0,90.4
13,3,0,0,5,6,8,0.3479,0.2,1.2,98.6
14,13,0,0,5,3,9,0.1695,5.4,0.6,94.0
13,5,1,0,5,5,4,0.8668,82.2,0.0,17.8
13,10,1,0,4,6,8,0.2521,7.6,0.6,91.8
7,4,0,0,4,7,9,0.0233,0.0,0.0,100.0
8,8,0,1,4,2,8,0.3525,47.6,1.4,51.0
14,11,1,0,4,7,9,0.1289,20.8,0.4,78.8
13,2,0,0,4,3,9,0.1585,5.4,1.0,93.6
12,2,0,0,4,3,8,0.1924,17.6,1.0,81.4
8,3,0,0,3,5,7,0.6165,15.6,8.2,76.2
12,8,0,0,3,1,8,0.4693,78.6,0.8,20.6
11,5,1,0,5,5,7,0.641,15.0,0.6,84.4
9,8,0,0,5,2,7,0.6319,56.6,1.2,42.2
11,6,1,0,5,1,8,0.3097,58.2,1.2,40.6
8,6,0,0,5,6,7,0.5835,45.8,1.6,52.6
6,5,0,0,0,3,0,0.0,18.0,2.2,79.8
10,9,0,0,3,2,8,0.4573,24.6,7.4,68.0
7,4,0,0,3,8,9,0.1059,5.4,6.4,88.2
9,4,0,0,4,2,8,0.178,5.2,1.6,93.2
14,6,0,0,4,7,8,0.1998,1.0,1.6,97.4
8,5,1,0,3,3,6,0.6994,72.8,4.8,22.4
14,7,1,0,4,2,8,0.3479,46.4,0.8,52.8
10,9,0,0,5,7,8,0.4573,0.0,0.0,100.0
7,2,0,0,0,4,0,0.0,11.0,2.8,86.2
11,2,0,0,3,1,9,0.021,23.6,2.6,73.8
13,3,1,0,0,3,0,0.0,26.6,3.2,70.2
13,10,0,0,0,5,0,0.0,18.6,4.6,76.8
7,6,0,0,3,4,9,0.1462,1.0,3.2,95.8
11,3,0,0,0,3,0,0.0,16.2,5.6,78.2
7,2,0,0,5,3,8,0.3372,18.4,2.6,79.0
11,7,0,0,4,7,9,0.1707,2.2,5.8,92.0
4,4,0,1,0,4,0,0.0,17.0,1.8,81.2
14,10,1,0,3,1,9,0.1147,46.0,4.8,49.2
14,6,1,0,4,4,9,0.1469,4.0,1.2,94.8
8,5,1,0,0,1,0,0.0,41.6,5.2,53.2
9,7,0,0,0,3,0,0.0,19.8,3.8,76.4
12,6,1,0,0,6,0,0.0,14.6,2.2,83.2
12,7,1,0,0,4,0,0.0,20.4,3.4,76.2
11,8,0,0,0,2,0,0.0,35.4,2.4,62.2
2,2,0,1,4,8,8,0.1802,3.0,0.0,97.0
7,4,0,0,3,1,8,0.3277,52.2,5.6,42.2
13,13,0,1,3,3,8,0.5154,52.8,1.2,46.0
8,4,0,0,5,4,8,0.2481,0.8,0.0,99.2
5,4,0,0,5,7,8,0.425,0.0,0.0,100.0
11,8,0,0,4,2,9,0.0812,7.2,0.6,92.2
12,6,0,0,4,6,9,0.0399,3.4,0.2,96.4
10,8,0,0,0,1,0,0.0,46.2,3.0,50.8
11,9,0,0,3,5,9,0.0889,28.4,3.0,68.6
12,8,0,0,3,3,9,0.0933,10.0,1.8,88.2
10,8,0,0,3,1,9,0.0742,48.4,2.4,49.2
10,4,0,0,3,1,7,0.5996,85.4,0.6,14.0
7,2,0,0,4,7,7,0.5704,44.0,2.6,53.4
10,4,1,0,0,4,0,0.0,19.8,2.8,77.4
13,2,0,0,0,5,0,0.0,10.2,4.2,85.6
13,9,0,0,5,6,8,0.193,0.0,0.0,100.0
11,7,0,0,0,6,0,0.0,9.6,4.0,86.4
12,2,1,0,5,7,8,0.4219,0.0,0.0,100.0
5,4,0,0,5,7,3,0.961,33.6,14.4,52.0
13,11,0,0,5,2,8,0.1918,13.2,0.2,86.6
9,2,0,0,4,4,8,0.1918,9.4,1.6,89.0
14,9,0,0,4,2,9,0.1479,22.4,4.0,73.6
14,5,0,0,5,1,7,0.6191,70.2,11.2,18.6
6,5,0,0,5,7,7,0.6493,0.0,0.0,100.0
6,6,0,1,4,6,8,0.2962,11.2,0.0,88.8
9,7,0,0,5,3,8,0.3905,34.4,1.2,64.4
7,5,0,0,3,4,8,0.335,22.2,3.4,74.4
10,7,1,0,0,8,0,0.0,12.4,4.0,83.6
11,10,0,0,5,3,8,0.3884,0.4,0.0,99.6
14,6,0,0,3,4,8,0.5374,45.2,8.4,46.4
13,12,0,0,3,1,8,0.495,78.2,2.0,19.8
9,3,1,0,5,4,7,0.6099,6.6,2.4,91.0
4,3,0,0,5,2,8,0.208,8.2,2.0,89.8
12,11,0,0,4,2,7,0.6676,69.6,4.0,26.4
10,4,0,0,0,5,0,0.0,10.8,3.4,85.8
12,9,0,0,0,6,0,0.0,15.2,2.4,82.4
9,4,0,0,4,3,8,0.3829,31.8,3.2,65.0
9,5,0,0,4,7,9,0.0886,0.2,2.0,97.8
11,5,1,0,0,8,0,0.0,11.0,1.6,87.4
13,7,1,0,0,5,0,0.0,16.0,2.4,81.6
7,6,0,0,0,7,0,0.0,8.0,2.8,89.2
10,9,0,0,4,1,9,0.1217,37.0,1.8,61.2
13,3,1,0,5,1,4,0.8566,99.4,0.0,0.6
8,4,0,0,3,1,8,0.3488,72.8,3.2,24.0
14,3,0,0,3,7,9,0.1104,2.6,1.6,95.8
13,12,0,0,4,5,7,0.6513,55.8,1.0,43.2
10,9,0,0,3,1,8,0.4173,71.6,2.2,26.2
14,7,0,0,4,8,8,0.5515,20.0,8.2,71.8
10,3,0,0,3,8,9,0.0423,1.2,1.8,97.0
14,6,0,0,3,5,9,0.1339,5.6,4.0,90.4
6,2,0,0,4,8,9,0.0206,1.6,4.4,94.0
5,2,0,0,4,3,8,0.1821,11.8,2.0,86.2
14,13,1,0,3,8,9,0.1545,2.8,0.2,97.0
5,4,0,0,3,8,9,0.0677,0.6,0.6,98.8
7,5,0,0,3,6,9,0.0444,2.8,0.2,97.0
12,11,1,0,3,6,6,0.7627,81.2,6.8,12.0
8,3,0,0,3,6,8,0.2932,2.2,1.8,96.0
14,13,1,0,5,1,7,0.6457,79.8,0.6,19.6
14,7,1,0,3,7,9,0.1282,2.8,1.8,95.4
11,4,0,0,4,2,9,0.1459,8.6,3.0,88.4
11,6,1,0,3,3,9,0.0302,12.4,7.0,80.6
12,7,0,0,5,5,9,0.1031,0.2,0.0,99.8
